especialidade,visivel_ia,marketplace_pos1_google,n_medicos,score_dor
Psiquiatria,0.0815,0.6667,135,0.8178
Nutrologia,0.136,0.4815,125,0.711
Ortopedia e Traumatologia,0.1145,0.4444,131,0.7091
Endocrinologia,0.1493,0.4815,134,0.703
Otorrinolaringologia,0.1308,0.4444,130,0.6993
Dermatologia,0.0519,0.2963,135,0.6874
Ginecologia e Obstetrícia,0.1259,0.4074,135,0.6874
Pediatria,0.1353,0.4074,133,0.6818
Geriatria,0.1765,0.4444,119,0.6719
Cardiologia,0.1692,0.4074,130,0.6614
Oftalmologia,0.0741,0.2593,135,0.6593
Coloproctologia,0.2609,0.5185,115,0.6509
Urologia,0.1852,0.3704,135,0.637
Cirurgia Plástica,0.097,0.2222,134,0.6307
Neurologia,0.1756,0.3333,131,0.628
Mastologia,0.2273,0.4074,110,0.6266
Cirurgia Vascular,0.1811,0.3333,127,0.6247
Gastroenterologia,0.1318,0.2593,129,0.6246
Pneumologia,0.2131,0.3704,122,0.6203
Reumatologia,0.3443,0.4815,122,0.586
